1;1;2;5;0
2;3;4;0;1
3;5;6;3;3
4;7;8;0;1
5;9;10;2;1
6;11;12;0;1
7;13;14;1;1
8;15;16;2;0
9;17;18;1;1
10;19;20;0;1
11;21;22;0;1
12;23;24;1;0
13;25;26;3;0
14;27;28;1;1
15;29;30;1;0
16;31;32;2;0
17;1;3;1;0
18;4;2;2;0
19;5;7;1;0
20;8;6;0;0
21;9;11;1;2
22;12;10;0;0
23;13;15;2;1
24;16;14;1;0
25;17;19;3;0
26;20;18;1;0
27;21;23;0;0
28;24;22;0;1
29;25;27;1;0
30;28;26;0;1
31;29;31;2;0
32;32;30;0;0
33;4;1;1;0
34;2;3;0;0
35;8;5;0;0
36;6;7;2;0
37;12;9;0;1
38;10;11;0;2
39;16;13;0;1
40;14;15;0;1
41;20;17;0;1
42;18;19;0;0
43;24;21;0;0
44;22;23;2;1
45;28;25;0;0
46;26;27;0;0
47;32;29;0;2
48;30;31;0;0
49;4;5;0;1
50;11;15;1;0
51;6;1;3;0
52;13;9;1;0
53;17;23;1;0
54;25;31;0;1
55;22;20;1;0
56;29;26;1;0
57;5;11;0;1
58;6;13;0;1
59;17;31;1;0
60;22;29;0;1
61;11;13;0;1
62;0;0;-1;-1
63;0;0;-1;-1
64;0;0;-1;-1
