1;1;2;0;0
2;3;4;0;0
3;5;6;0;0
4;7;8;0;0
5;9;10;0;0
6;11;12;0;0
7;13;14;0;0
8;15;16;0;0
9;17;18;0;0
10;19;20;0;0
11;21;22;0;0
12;23;24;0;0
13;25;26;0;0
14;27;28;0;0
15;29;30;0;0
16;31;32;0;0
17;1;3;0;0
18;4;2;0;0
19;5;7;0;0
20;8;6;0;0
21;9;11;0;0
22;12;10;0;0
23;13;15;0;0
24;16;14;0;0
25;17;19;0;0
26;20;18;0;0
27;21;23;0;0
28;24;22;0;0
29;25;27;0;0
30;28;26;0;0
31;29;31;0;0
32;32;30;0;0
33;4;1;0;0
34;2;3;0;0
35;8;5;0;0
36;6;7;0;0
37;12;9;0;0
38;10;11;0;0
39;16;13;0;0
40;14;15;0;0
41;20;17;0;0
42;18;19;0;0
43;24;21;0;0
44;22;23;0;0
45;28;25;0;0
46;26;27;0;0
47;32;29;0;0
48;30;31;0;0
