1;1;2;5;0
2;3;4;0;1
3;5;6;3;3
4;7;8;0;1
5;9;10;2;1
6;11;12;0;1
7;13;14;1;1
8;15;16;2;0
9;17;18;1;1
10;19;20;0;1
11;21;22;0;1
12;23;24;1;0
13;25;26;3;0
14;27;28;1;2
15;29;30;1;2
16;31;32;1;2
17;1;3;3;1
18;4;2;1;0
19;5;7;1;0
20;8;6;0;1
21;9;11;1;0
22;12;10;1;1
23;13;15;0;3
24;16;14;2;0
25;17;19;2;0
26;20;18;1;2
27;21;23;2;1
28;24;22;1;2
29;25;27;5;2
30;28;26;6;1
31;29;31;0;3
32;32;30;2;2
33;4;1;3;0
34;2;3;2;1
35;8;5;1;1
36;6;7;2;2
37;12;9;0;0
38;10;11;0;2
39;16;13;1;2
40;14;15;1;2
41;20;17;0;2
42;18;19;2;2
43;24;21;2;0
44;22;23;0;3
45;28;25;0;1
46;26;27;1;2
47;32;29;0;1
48;30;31;0;1
49;4;5;-1;-1
50;9;13;-1;-1
51;6;1;-1;-1
52;15;12;-1;-1
53;17;22;-1;-1
54;25;32;-1;-1
55;23;18;-1;-1
56;31;28;-1;-1
57;0;0;-1;-1
58;0;0;-1;-1
59;0;0;-1;-1
60;0;0;-1;-1
61;0;0;-1;-1
62;0;0;-1;-1
63;0;0;-1;-1
64;0;0;-1;-1
